SEP=;
timestamp;deltaTime;hr;hrValid
2024-02-08T12:56:28.526;8752;48;True
2024-02-08T12:56:28.533;8752;48;True
2024-02-08T12:56:28.537;8752;48;True
2024-02-08T12:56:28.543;8752;48;True
2024-02-08T12:56:28.549;8752;48;True
2024-02-08T12:56:28.556;8752;48;True
2024-02-08T12:56:28.562;8752;48;True
2024-02-08T12:56:28.568;8752;48;True
2024-02-08T12:56:28.574;8752;48;True
2024-02-08T12:56:28.579;8752;48;True
2024-02-08T12:56:28.584;8752;48;True
2024-02-08T12:56:28.590;8752;48;True
2024-02-08T12:56:28.595;8752;48;True
2024-02-08T12:56:28.601;8752;48;True
2024-02-08T12:56:28.608;8752;48;True
2024-02-08T12:56:28.613;8752;48;True
2024-02-08T12:56:28.619;8752;48;True
2024-02-08T12:56:28.624;8752;48;True
2024-02-08T12:56:28.629;8752;48;True
2024-02-08T12:56:28.637;8752;48;True
2024-02-08T12:56:28.644;8752;48;True
2024-02-08T12:56:28.648;8752;48;True
2024-02-08T12:56:28.653;8752;48;True
2024-02-08T12:56:28.658;8752;48;True
2024-02-08T12:56:28.662;8752;48;True
2024-02-08T12:56:28.667;8752;48;True
2024-02-08T12:56:28.672;8752;48;True
2024-02-08T12:56:28.677;8752;48;True
2024-02-08T12:56:28.681;8752;48;True
2024-02-08T12:56:28.686;8752;48;True
2024-02-08T12:56:28.691;8752;48;True
2024-02-08T12:56:28.695;8752;48;True
2024-02-08T12:56:28.701;8752;48;True
2024-02-08T12:56:28.706;8752;48;True
2024-02-08T12:56:28.710;8752;48;True
2024-02-08T12:56:28.715;8752;48;True
2024-02-08T12:56:28.720;8752;48;True
2024-02-08T12:56:28.726;8752;48;True
2024-02-08T12:56:28.732;8752;48;True
2024-02-08T12:56:28.738;8752;48;True
2024-02-08T12:56:28.744;8752;48;True
2024-02-08T12:56:28.750;8752;48;True
2024-02-08T12:56:28.756;8752;48;True
2024-02-08T12:56:28.760;8752;48;True
2024-02-08T12:56:28.765;8752;48;True
2024-02-08T12:56:28.770;8752;48;True
2024-02-08T12:56:28.774;8752;48;True
2024-02-08T12:56:28.780;8752;48;True
2024-02-08T12:56:28.785;8752;48;True
2024-02-08T12:56:28.790;8752;48;True
2024-02-08T12:56:28.794;8752;48;True
2024-02-08T12:56:28.799;8752;48;True
2024-02-08T12:56:28.804;8752;48;True
2024-02-08T12:56:28.809;8752;48;True
2024-02-08T12:56:28.815;8752;48;True
2024-02-08T12:56:28.819;8752;48;True
2024-02-08T12:56:28.823;8752;48;True
2024-02-08T12:56:28.828;8752;48;True
2024-02-08T12:56:28.832;8752;48;True
2024-02-08T12:56:28.836;8752;48;True
2024-02-08T12:56:28.842;8752;48;True
2024-02-08T12:56:28.846;8752;48;True
2024-02-08T12:56:28.851;8752;48;True
2024-02-08T12:56:28.855;8752;48;True
2024-02-08T12:56:28.859;8752;48;True
2024-02-08T12:56:28.863;8752;48;True
2024-02-08T12:56:28.867;8752;48;True
2024-02-08T12:56:28.871;8752;48;True
2024-02-08T12:56:28.876;8752;48;True
2024-02-08T12:56:28.880;8752;48;True
2024-02-08T12:56:28.885;8752;48;True
2024-02-08T12:56:28.889;8752;48;True
2024-02-08T12:56:28.893;8752;48;True
2024-02-08T12:56:28.897;8752;48;True
2024-02-08T12:56:28.902;8752;48;True
2024-02-08T12:56:28.907;8752;48;True
2024-02-08T12:56:28.911;8752;48;True
2024-02-08T12:56:28.915;8752;48;True
2024-02-08T12:56:28.919;8752;48;True
2024-02-08T12:56:28.923;8752;48;True
2024-02-08T12:56:28.927;8752;48;True
2024-02-08T12:56:28.932;8752;48;True
2024-02-08T12:56:28.937;8752;48;True
2024-02-08T12:56:28.942;8752;48;True
2024-02-08T12:56:28.947;8752;48;True
2024-02-08T12:56:28.951;8752;48;True
2024-02-08T12:56:28.956;8752;48;True
2024-02-08T12:56:28.960;8752;48;True
2024-02-08T12:56:28.965;8752;48;True
2024-02-08T12:56:28.968;8752;48;True
2024-02-08T12:56:28.973;8752;48;True
2024-02-08T12:56:28.977;8752;48;True
2024-02-08T12:56:28.981;8752;48;True
2024-02-08T12:56:28.986;8752;48;True
2024-02-08T12:56:28.989;8752;48;True
2024-02-08T12:56:28.994;8752;48;True
2024-02-08T12:56:28.998;8752;48;True
2024-02-08T12:56:29.002;8752;48;True
2024-02-08T12:56:29.007;8752;48;True
2024-02-08T12:56:29.013;8752;48;True
2024-02-08T12:56:29.019;8752;48;True
2024-02-08T12:56:29.025;8752;48;True
