SEP=;
timestemp;deltaTime_0;amplitude[mv]_0;deltaTime_1;amplitude[mv]_1;deltaTime_2;amplitude[mv]_2;deltaTime_3;amplitude[mv]_3;deltaTime_4;amplitude[mv]_4;deltaTime_5;amplitude[mv]_5;deltaTime_6;amplitude[mv]_6;deltaTime_7;amplitude[mv]_7;deltaTime_8;amplitude[mv]_8;deltaTime_9;amplitude[mv]_9;deltaTime_10;amplitude[mv]_10;deltaTime_11;amplitude[mv]_11;deltaTime_12;amplitude[mv]_12;deltaTime_13;amplitude[mv]_13;deltaTime_14;amplitude[mv]_14;deltaTime_15;amplitude[mv]_15;deltaTime_16;amplitude[mv]_16;deltaTime_17;amplitude[mv]_17;deltaTime_18;amplitude[mv]_18;deltaTime_19;amplitude[mv]_19;deltaTime_20;amplitude[mv]_20;deltaTime_21;amplitude[mv]_21;deltaTime_22;amplitude[mv]_22;deltaTime_23;amplitude[mv]_23;deltaTime_24;amplitude[mv]_24;
1384.1413;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,4316406;0;-0,04492188;0;0,5014648;0;0,5014648;0;-0,4997559;0;-0,4997559;
1484.9471;0;-0,4997559;0;0,5014648;0;0,5014648;0;0,5014648;0;0,2248535;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;
1585.4402;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;
1685.3931;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;-0,1782227;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;
1786.2818;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;
1887.0331;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;
1987.7489;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;
2088.4355;0;-0,4997559;0;-0,1865234;0;0,5014648;0;-0,4631348;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;
2189.2093;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;-0,04174805;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;
2289.8933;0;-0,4997559;0;-0,4997559;0;0,03344727;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,2431641;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;
2390.6213;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;
2491.3319;0;0,5014648;0;0,5014648;0;0,5014648;0;-0,3015137;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;-0,4997559;0;-0,4348145;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;-0,4997559;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;-0,01342773;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;
2591.7145;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;-0,4997559;0;0,3415527;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;0;0,5014648;
