SEP=;
timestamp;label
2021-10-13T19:31:44.416;Start_stroking_synchronous;
2021-10-13T19:31:49.431;Knife appears;
2021-10-13T19:31:49.432;Stop_stroking;
2021-10-13T19:31:58.590;Stab;
